date,p0,p1,p2,p3,refit_date
2023-02-28,1.1224401122918586e-62,1.1020516683593497e-28,7.68721513477871e-12,0.9999999999923127,2022-12-31
2023-03-31,1.2004442404931805e-60,2.2727944179439198e-14,3.3081314345840445e-06,0.9999966918685427,2022-12-31
2023-04-30,4.848191642937159e-46,1.4901470710727965e-08,0.000416522065765286,0.999583463032764,2022-12-31
2023-05-31,5.7986456588389556e-49,2.5792094716998838e-12,2.417374187265315e-06,0.9999975826232336,2022-12-31
2023-06-30,1.7510515859066183e-54,2.6205819075285297e-11,5.918011006464412e-07,0.9999994081726936,2022-12-31
2023-07-31,5.509344906246097e-49,1.0952049861042108e-13,1.2265724890445333e-06,0.9999987734274014,2022-12-31
2023-08-31,5.932486807491825e-50,1.089551461591576e-09,3.9667909329671686e-05,0.9999603310011189,2022-12-31
2023-09-30,3.42477930798926e-49,1.3992343090770948e-10,0.0001392187317806259,0.999860781128296,2022-12-31
2023-10-31,3.591043115254094e-54,8.392234520473724e-12,6.538355212845761e-06,0.999993461636395,2022-12-31
2023-11-30,6.18324109846696e-45,2.5422422333456613e-07,6.915059598503162e-05,0.9999305951797917,2022-12-31
2023-12-31,5.638064476225054e-55,4.277997700139823e-14,1.7799505384017335e-18,0.9999999999999571,2023-12-31
2024-01-31,6.4442714710852806e-52,3.807042464393355e-12,3.314968178217997e-18,0.999999999996193,2023-12-31
2024-02-29,3.2166111284967254e-53,2.0864498614541433e-14,1.1154300751733503e-17,0.9999999999999791,2023-12-31
2024-03-31,8.755338404795743e-52,1.5253305549117428e-13,2.3683815513362264e-18,0.9999999999998475,2023-12-31
2024-04-30,7.520116505730368e-58,5.306752586443901e-16,4.010253418082482e-20,0.9999999999999994,2023-12-31
2024-05-31,3.3825434626887754e-56,3.824235625891873e-14,4.798089644825315e-20,0.9999999999999618,2023-12-31
2024-06-30,5.022318469574299e-51,4.754530888381969e-14,6.614177326802191e-20,0.9999999999999525,2023-12-31
2024-07-31,1.3544412804345383e-51,1.380985151193336e-12,2.387874710896772e-21,0.999999999998619,2023-12-31
2024-08-31,1.0090263678752006e-45,1.2696349845719961e-10,4.6801162854122344e-20,0.9999999998730366,2023-12-31
2024-09-30,4.692621992330509e-45,2.804703107743813e-12,5.617265503038523e-21,0.9999999999971952,2023-12-31
2024-10-31,3.4664991910236076e-53,5.448870340958099e-15,1.1464483451150028e-26,0.9999999999999946,2023-12-31
2024-11-30,4.714681862064068e-47,2.39372999527749e-13,2.3531891142889907e-25,0.9999999999997606,2023-12-31
2024-12-31,5.188762805959823e-22,3.4714192235980767e-09,0.00035806504683130573,0.9996419314817495,2024-12-31
2025-01-31,6.700377074260273e-25,5.766336912348001e-11,0.0015735130745697433,0.9984264868677669,2024-12-31
2025-02-28,1.056813361720106e-26,5.719519247476796e-08,0.19128997352672464,0.8087099692780828,2024-12-31
2025-03-31,1.1343941198872007e-24,8.666857381758432e-07,0.7911506642375058,0.20884846907675603,2024-12-31
2025-04-30,1.4999496678559152e-26,1.6658663918274353e-06,0.9974200688738275,0.002578265259780604,2024-12-31
2025-05-31,3.9825544884709697e-25,5.308329437433523e-07,0.9864213472369424,0.013578121930113875,2024-12-31
2025-06-30,1.0162757379830361e-23,5.450089926361957e-07,0.9924801801610993,0.007519274829908096,2024-12-31
2025-07-31,9.516544000648871e-23,2.2283463809272505e-07,0.9563225061467101,0.04367727101865185,2024-12-31
2025-08-31,6.947274998545341e-21,1.5996216535465558e-06,0.8657340951611148,0.13426430521723162,2024-12-31
2025-09-30,1.9114965495388713e-19,1.6820220679528245e-06,0.7919289586138648,0.20806935936406726,2024-12-31
2025-10-31,1.765210334809473e-21,4.3496593278396955e-06,0.8337773668505223,0.16621828349014994,2024-12-31
2025-11-30,4.0358059845151454e-20,4.903764272443875e-06,0.8627869874203786,0.13720810881534884,2024-12-31
2025-12-31,9.833900022726521e-21,0.000312134132043208,3.5343459775049025e-11,0.9996878658326133,2025-12-31
2026-01-31,1.439479903398592e-21,0.0007992138936993061,1.4077939529233847e-10,0.9992007859655212,2025-12-31
2026-03-31,3.158203363041478e-18,0.2807359568522243,2.8040978166828378e-05,0.7192360021696089,2025-12-31
