date,p0,p1,p2,p3
2014-07-31,1.0,5.5295273176439635e-14,7.282105832986763e-54,3.017848364941275e-59
2014-08-31,1.0,1.1284349764539992e-22,6.385222720366625e-43,6.388673789111228e-55
2014-09-30,1.0,1.74869821154411e-17,2.58816689773405e-54,1.4764842676431414e-54
2014-10-31,1.0,1.4493919547650577e-22,1.23852798498639e-55,1.0319926564783963e-59
2014-11-30,1.0,7.811273710555651e-26,1.9566124424621187e-46,1.0568894912954233e-55
2014-12-31,1.0,1.9727866600118165e-19,2.496826090981834e-41,4.854353424379514e-52
2015-01-31,1.0,3.20917337732399e-19,5.407337392482577e-47,6.8515747225275165e-59
2015-02-28,1.0,1.6437776848072772e-28,1.5030794834377438e-52,1.9898468704719066e-55
2015-03-31,1.0,1.7013835249680093e-27,4.377401725913337e-51,6.670128934109086e-58
2015-04-30,1.0,6.292527953463462e-26,1.0884269349901699e-47,3.77791249804101e-52
2015-05-31,1.0,7.956388108100146e-29,2.5812134624806788e-45,1.0884619053605019e-47
2015-06-30,1.0,2.1682373840901648e-19,2.6572108048037276e-48,4.3219342405627065e-46
2015-07-31,1.0,1.2552036127329737e-31,6.07765057258666e-39,4.348506348611711e-46
2015-08-31,0.999999999990905,8.96089572782222e-12,3.0983482185442097e-37,1.1549602945561681e-43
2015-09-30,0.9999999999968168,3.2555312442425365e-12,3.486687753191473e-42,7.264060398659646e-49
2015-10-31,1.0,2.6913231876389946e-19,2.2166744543208513e-41,3.5345189506882307e-44
2015-11-30,1.0,3.911914662226544e-17,1.9013351959523766e-33,6.559538074330224e-42
2015-12-31,0.9999999999959073,4.067149223190535e-12,1.7636903282473396e-29,4.462311632725384e-37
2016-01-31,0.9999999997689883,2.3116244058490682e-10,1.46906831566013e-29,1.966226947687631e-35
2016-02-29,0.9999999992946869,7.051943028979136e-10,2.373982083041016e-23,3.4546311952204104e-36
2016-03-31,0.9999999999772626,2.2726648067864514e-11,1.0050504422233406e-20,4.437458874036842e-29
2016-04-30,0.9999999980450411,1.9550058288286648e-09,2.217771521178323e-26,6.958465205396813e-33
2016-05-31,1.0,2.0464372903875463e-14,1.3106325025037006e-25,8.475636255350718e-34
2016-06-30,1.0,8.236773738120082e-16,2.5136221850747914e-24,3.464954839905107e-33
2016-07-31,1.0,1.272045761548903e-19,1.6302671160727059e-18,2.1447141257843922e-27
2016-08-31,1.0,2.405586191936849e-14,9.926656488489007e-18,1.8338864710580404e-23
2016-09-30,1.0,2.1087300469536766e-13,9.867621842108495e-16,1.0639508802531347e-22
2016-10-31,0.9999999998699423,1.2988262257517587e-10,2.5305159511555924e-23,4.46075716210479e-27
2016-11-30,1.0,2.7124626715609895e-15,2.7586910695545746e-27,2.5844757918350903e-31
2016-12-31,1.0,6.779951245812417e-15,9.131310126471049e-26,4.6852687683983425e-36
2017-01-31,1.0,1.1029739288947495e-14,5.8392597813911885e-25,1.1869589079547555e-37
2017-02-28,1.0,1.168359262024723e-14,2.620580493212193e-26,3.645328835559528e-40
2017-03-31,1.0,2.085115600343925e-17,4.103001744732347e-31,3.7732498161875134e-39
2017-04-30,1.0,9.864448147884452e-21,3.3498889515103426e-26,9.604488411544252e-34
2017-05-31,1.0,3.034577942386057e-16,1.979128289609281e-21,2.634649294957559e-31
2017-06-30,1.0,1.6835683492594406e-14,3.3016894700567637e-21,9.634385992524685e-29
2017-07-31,1.0,9.439691836241042e-15,1.6835692787878407e-14,1.0559324847807138e-26
2017-08-31,0.9999999907568053,3.640265457739448e-13,9.242629967377019e-09,1.1268251601396578e-20
2017-09-30,0.9999955842674532,5.1492639740442876e-15,4.415732718931046e-06,1.3532160571911157e-14
